unit_id,dealer_account_id,model,motor_lot,status,installed
TM-00199,ACC-DLR-37,TUBE-DLX,4471,down,2026-07-01
TM-00057,ACC-DLR-3,TUBE-DLX,4471,down,2025-11-01
TM-00039,ACC-DLR-37,TUBE-DLX,4471,down,2025-12-01
TM-00023,ACC-DLR-5,TUBE-DLX,4471,down,2026-07-01
TM-00146,ACC-DLR-26,TUBE-DLX,4471,down,2026-03-01
TM-00107,ACC-DLR-33,TUBE-DLX,4471,down,2026-05-01
TM-00150,ACC-DLR-14,TUBE-STD,4471,down,2025-02-01
TM-00196,ACC-DLR-16,TUBE-DLX,4471,down,2026-03-01
TM-00064,ACC-DLR-12,TUBE-DLX,4471,down,2025-12-01
TM-00012,ACC-DLR-8,TUBE-DLX,4471,down,2025-09-01
TM-00179,ACC-DLR-17,TUBE-DLX,4471,down,2025-01-01
TM-00201,ACC-DLR-11,TUBE-DLX,4471,down,2025-07-01
TM-00043,ACC-DLR-25,TUBE-DLX,4471,down,2025-04-01
TM-00183,ACC-DLR-5,TUBE-DLX,4471,down,2025-04-01
TM-00098,ACC-DLR-10,TUBE-DLX,4471,down,2026-02-01
TM-00027,ACC-DLR-33,TUBE-DLX,4471,down,2026-02-01
TM-00005,ACC-DLR-39,TUBE-STD,4471,down,2026-01-01
TM-00016,ACC-DLR-36,TUBE-DLX,4471,down,2025-09-01
TM-00106,ACC-DLR-26,TUBE-DLX,4471,down,2025-10-01
TM-00087,ACC-DLR-13,TUBE-DLX,4471,down,2025-10-01
TM-00008,ACC-DLR-20,TUBE-DLX,4471,down,2025-01-01
TM-00120,ACC-DLR-4,TUBE-STD,4471,down,2025-08-01
TM-00159,ACC-DLR-37,TUBE-DLX,4471,down,2025-05-01
TM-00007,ACC-DLR-13,TUBE-DLX,4471,down,2025-09-01
TM-00112,ACC-DLR-28,TUBE-DLX,4471,down,2026-05-01
TM-00034,ACC-DLR-2,TUBE-DLX,4471,down,2025-05-01
TM-00044,ACC-DLR-32,TUBE-DLX,4471,down,2026-01-01
TM-00136,ACC-DLR-36,TUBE-DLX,4471,down,2026-04-01
TM-00003,ACC-DLR-25,TUBE-DLX,4471,down,2026-06-01
TM-00088,ACC-DLR-20,TUBE-DLX,4471,down,2025-09-01
TM-00018,ACC-DLR-10,TUBE-DLX,4471,down,2026-06-01
TM-00171,ACC-DLR-1,TUBE-DLX,4471,down,2025-08-01
TM-00152,ACC-DLR-28,TUBE-DLX,4471,down,2026-06-01
TM-00127,ACC-DLR-13,TUBE-DLX,4471,down,2025-06-01
TM-00163,ACC-DLR-25,TUBE-DLX,4471,down,2026-12-01
TM-00134,ACC-DLR-22,TUBE-DLX,4471,down,2026-11-01
TM-00119,ACC-DLR-37,TUBE-DLX,4471,down,2025-06-01
TM-00001,ACC-DLR-11,TUBE-DLX,4471,down,2026-05-01
TM-00048,ACC-DLR-20,TUBE-DLX,4471,down,2026-05-01
TM-00128,ACC-DLR-20,TUBE-DLX,4471,down,2025-05-01
TM-00101,ACC-DLR-31,TUBE-DLX,4471,down,2025-03-01
TM-00083,ACC-DLR-25,TUBE-DLX,4471,down,2026-02-01
TM-00056,ACC-DLR-36,TUBE-DLX,4471,down,2026-04-01
TM-00067,ACC-DLR-33,TUBE-DLX,4471,down,2025-08-01
TM-00046,ACC-DLR-6,TUBE-DLX,4471,down,2026-03-01
TM-00063,ACC-DLR-5,TUBE-DLX,4471,down,2026-07-01
TM-00050,ACC-DLR-34,TUBE-STD,4471,down,2025-12-01
TM-00104,ACC-DLR-12,TUBE-DLX,4471,down,2026-08-01
TM-00173,ACC-DLR-15,TUBE-DLX,4471,down,2025-07-01
TM-00142,ACC-DLR-38,TUBE-DLX,4471,down,2026-01-01
TM-00052,ACC-DLR-8,TUBE-DLX,4471,down,2026-06-01
TM-00148,ACC-DLR-40,TUBE-DLX,4471,down,2026-02-01
TM-00114,ACC-DLR-2,TUBE-DLX,4471,down,2025-04-01
TM-00047,ACC-DLR-13,TUBE-DLX,4471,down,2025-04-01
TM-00182,ACC-DLR-38,TUBE-DLX,4471,down,2025-08-01
TM-00205,ACC-DLR-39,TUBE-STD,4471,down,2026-09-01
TM-00175,ACC-DLR-29,TUBE-STD,4471,down,2025-09-01
TM-00195,ACC-DLR-9,TUBE-STD,4471,down,2025-09-01
TM-00203,ACC-DLR-25,TUBE-DLX,4471,down,2026-05-01
TM-00153,ACC-DLR-35,TUBE-DLX,4471,down,2025-09-01
TM-00123,ACC-DLR-25,TUBE-DLX,4471,down,2025-05-01
TM-00028,ACC-DLR-40,TUBE-DLX,4471,down,2026-02-01
TM-00070,ACC-DLR-14,TUBE-STD,4471,down,2026-01-01
TM-00125,ACC-DLR-39,TUBE-STD,4471,down,2025-11-01
TM-00113,ACC-DLR-35,TUBE-DLX,4471,down,2025-07-01
TM-00092,ACC-DLR-8,TUBE-DLX,4471,down,2025-05-01
TM-00072,ACC-DLR-28,TUBE-DLX,4471,down,2025-10-01
TM-00100,ACC-DLR-24,TUBE-STD,4471,down,2026-09-01
TM-00209,ACC-DLR-27,TUBE-DLX,4471,down,2025-04-01
TM-00126,ACC-DLR-6,TUBE-DLX,4471,down,2026-03-01
TM-00076,ACC-DLR-16,TUBE-DLX,4471,down,2025-10-01
TM-00206,ACC-DLR-6,TUBE-DLX,4471,down,2026-11-01
TM-00164,ACC-DLR-32,TUBE-DLX,4471,down,2025-12-01
TM-00042,ACC-DLR-18,TUBE-DLX,4471,down,2025-08-01
TM-00085,ACC-DLR-39,TUBE-STD,4471,down,2025-01-01
TM-00066,ACC-DLR-26,TUBE-DLX,4471,down,2025-04-01
TM-00061,ACC-DLR-31,TUBE-DLX,4471,down,2026-12-01
TM-00207,ACC-DLR-13,TUBE-DLX,4471,down,2025-12-01
TM-00204,ACC-DLR-32,TUBE-DLX,4471,down,2026-05-01
TM-00208,ACC-DLR-20,TUBE-DLX,4471,down,2025-05-01
TM-00029,ACC-DLR-7,TUBE-DLX,4471,down,2026-02-01
TM-00017,ACC-DLR-3,TUBE-DLX,4471,down,2025-02-01
TM-00158,ACC-DLR-30,TUBE-DLX,4471,down,2026-07-01
TM-00031,ACC-DLR-21,TUBE-DLX,4471,down,2025-04-01
TM-00009,ACC-DLR-27,TUBE-DLX,4471,down,2025-04-01
TM-00078,ACC-DLR-30,TUBE-DLX,4471,down,2025-11-01
TM-00041,ACC-DLR-11,TUBE-DLX,4471,down,2025-07-01
TM-00032,ACC-DLR-28,TUBE-DLX,4471,down,2025-10-01
TM-00139,ACC-DLR-17,TUBE-DLX,4471,down,2025-08-01
TM-00019,ACC-DLR-17,TUBE-DLX,4471,down,2025-12-01
TM-00135,ACC-DLR-29,TUBE-STD,4471,down,2025-06-01
TM-00155,ACC-DLR-9,TUBE-STD,4471,down,2026-03-01
TM-00168,ACC-DLR-20,TUBE-DLX,4471,down,2025-08-01
TM-00167,ACC-DLR-13,TUBE-DLX,4471,down,2025-11-01
TM-00026,ACC-DLR-26,TUBE-DLX,4471,down,2026-08-01
TM-00189,ACC-DLR-7,TUBE-DLX,4471,down,2026-05-01
TM-00170,ACC-DLR-34,TUBE-STD,4471,down,2026-09-01
TM-00169,ACC-DLR-27,TUBE-DLX,4471,down,2025-12-01
TM-00141,ACC-DLR-31,TUBE-DLX,4471,down,2025-08-01
TM-00058,ACC-DLR-10,TUBE-DLX,4471,down,2026-04-01
TM-00006,ACC-DLR-6,TUBE-DLX,4471,down,2026-03-01
TM-00131,ACC-DLR-1,TUBE-DLX,4471,down,2026-11-01
TM-00040,ACC-DLR-4,TUBE-STD,4471,down,2025-04-01
TM-00111,ACC-DLR-21,TUBE-DLX,4471,down,2025-04-01
TM-00081,ACC-DLR-11,TUBE-DLX,4471,down,2025-02-01
TM-00065,ACC-DLR-19,TUBE-STD,4471,down,2025-05-01
TM-00193,ACC-DLR-35,TUBE-DLX,4471,down,2025-06-01
TM-00074,ACC-DLR-2,TUBE-DLX,4471,down,2025-09-01
TM-00110,ACC-DLR-14,TUBE-STD,4471,down,2026-07-01
TM-00013,ACC-DLR-15,TUBE-DLX,4471,down,2025-08-01
TM-00071,ACC-DLR-21,TUBE-DLX,4471,down,2025-08-01
TM-00138,ACC-DLR-10,TUBE-DLX,4471,down,2026-05-01
TM-00185,ACC-DLR-19,TUBE-STD,4471,down,2025-11-01
TM-00197,ACC-DLR-23,TUBE-DLX,4471,down,2025-05-01
TM-00130,ACC-DLR-34,TUBE-STD,4471,down,2025-06-01
TM-00096,ACC-DLR-36,TUBE-DLX,4471,down,2026-10-01
TM-00024,ACC-DLR-12,TUBE-DLX,4471,down,2025-10-01
TM-00149,ACC-DLR-7,TUBE-DLX,4471,down,2026-11-01
TM-00115,ACC-DLR-9,TUBE-STD,4471,down,2026-03-01
TM-00109,ACC-DLR-7,TUBE-DLX,4471,down,2026-02-01
TM-00015,ACC-DLR-29,TUBE-STD,4471,down,2026-06-01
TM-00004,ACC-DLR-32,TUBE-DLX,4471,down,2026-08-01
TM-00212,ACC-DLR-8,TUBE-DLX,4471,down,2025-04-01
TM-00214,ACC-DLR-22,TUBE-DLX,4471,down,2026-02-01
TM-00038,ACC-DLR-30,TUBE-DLX,4471,down,2026-01-01
TM-00086,ACC-DLR-6,TUBE-DLX,4471,down,2026-11-01
TM-00036,ACC-DLR-16,TUBE-DLX,4471,down,2025-09-01
TM-00108,ACC-DLR-40,TUBE-DLX,4471,down,2026-07-01
TM-00099,ACC-DLR-17,TUBE-DLX,4471,down,2026-08-01
TM-00160,ACC-DLR-4,TUBE-STD,4471,down,2026-05-01
TM-00188,ACC-DLR-40,TUBE-DLX,4471,down,2025-02-01
TM-00060,ACC-DLR-24,TUBE-STD,4471,down,2026-09-01
TM-00202,ACC-DLR-18,TUBE-DLX,4471,down,2026-06-01
TM-00089,ACC-DLR-27,TUBE-DLX,4471,down,2025-03-01
TM-00094,ACC-DLR-22,TUBE-DLX,4471,down,2026-04-01
TM-00103,ACC-DLR-5,TUBE-DLX,4471,down,2025-02-01
TM-00157,ACC-DLR-23,TUBE-DLX,4471,down,2025-02-01
TM-00084,ACC-DLR-32,TUBE-DLX,4471,down,2026-05-01
TM-00037,ACC-DLR-23,TUBE-DLX,4471,down,2025-04-01
TM-00020,ACC-DLR-24,TUBE-STD,4471,down,2025-05-01
TM-00082,ACC-DLR-18,TUBE-DLX,4471,down,2025-01-01
TM-00184,ACC-DLR-12,TUBE-DLX,4471,down,2026-01-01
TM-00165,ACC-DLR-39,TUBE-STD,4471,down,2026-12-01
TM-00062,ACC-DLR-38,TUBE-DLX,4471,down,2025-08-01
TM-00049,ACC-DLR-27,TUBE-DLX,4471,down,2025-05-01
TM-00140,ACC-DLR-24,TUBE-STD,4471,down,2025-07-01
TM-00144,ACC-DLR-12,TUBE-DLX,4471,down,2025-05-01
TM-00054,ACC-DLR-22,TUBE-DLX,4471,down,2026-02-01
TM-00180,ACC-DLR-24,TUBE-STD,4471,down,2025-08-01
TM-00079,ACC-DLR-37,TUBE-DLX,4471,down,2025-11-01
TM-00002,ACC-DLR-18,TUBE-DLX,4471,down,2025-01-01
TM-00156,ACC-DLR-16,TUBE-DLX,4471,down,2026-11-01
TM-00095,ACC-DLR-29,TUBE-STD,4471,down,2025-11-01
TM-00129,ACC-DLR-27,TUBE-DLX,4471,down,2026-03-01
TM-00121,ACC-DLR-11,TUBE-DLX,4471,down,2026-04-01
TM-00162,ACC-DLR-18,TUBE-DLX,4471,down,2025-06-01
TM-00117,ACC-DLR-23,TUBE-DLX,4471,down,2026-02-01
TM-00014,ACC-DLR-22,TUBE-DLX,4471,down,2025-08-01
